VTX, IDX, POSITION.x, POSITION.y, POSITION.z, NORMAL.x, NORMAL.y, NORMAL.z, NORMAL.w, TANGENT.x, TANGENT.y, TANGENT.z, TANGENT.w, TEXCOORD0.x, TEXCOORD0.y
0, 0,  0.0402, -1.57095E-17,  0.12606, -0.97949,  0.00, -0.20056,  0.00,  0.1098,  0.83691, -0.53613,  1.00, -0.06058,  0.81738
1, 1,  0.0366,  0.00826,  0.11128, -0.87842, -0.4751, -0.05173,  0.00, -0.37085,  0.74609, -0.55322,  1.00, -0.03168,  0.83252
2, 2,  0.04098, -1.57095E-17,  0.09055, -1.00,  0.00, -0.02199,  0.00,  0.01275,  0.81445, -0.58008,  1.00, -0.0253,  0.87744
3, 0,  0.0402, -1.57095E-17,  0.12606, -0.97949,  0.00, -0.20056,  0.00,  0.1098,  0.83691, -0.53613,  1.00, -0.06058,  0.81738
4, 3,  0.03006,  0.01424,  0.12753, -0.78369, -0.52295, -0.33545,  0.00, -0.30981,  0.79688, -0.51807,  1.00, -0.03354,  0.79492
5, 1,  0.0366,  0.00826,  0.11128, -0.87842, -0.4751, -0.05173,  0.00, -0.37085,  0.74609, -0.55322,  1.00, -0.03168,  0.83252
6, 0,  0.0402, -1.57095E-17,  0.12606, -0.97949,  0.00, -0.20056,  0.00,  0.1098,  0.83691, -0.53613,  1.00, -0.06058,  0.81738
7, 4,  0.01819,  0.02052,  0.14143, -0.74121, -0.63623, -0.21484,  0.00, -0.41309,  0.68408, -0.60107,  1.00, -0.02986,  0.75488
8, 3,  0.03006,  0.01424,  0.12753, -0.78369, -0.52295, -0.33545,  0.00, -0.30981,  0.79688, -0.51807,  1.00, -0.03354,  0.79492
9, 4,  0.01819,  0.02052,  0.14143, -0.74121, -0.63623, -0.21484,  0.00, -0.41309,  0.68408, -0.60107,  1.00, -0.02986,  0.75488
10, 0,  0.0402, -1.57095E-17,  0.12606, -0.97949,  0.00, -0.20056,  0.00,  0.1098,  0.83691, -0.53613,  1.00, -0.06058,  0.81738
11, 5,  0.02788, -1.57095E-17,  0.1758, -0.9585,  0.00, -0.28467,  0.00,  0.16309,  0.81934, -0.54932,  1.00, -0.11395,  0.72656
12, 5,  0.02788, -1.57095E-17,  0.1758, -0.9585,  0.00, -0.28467,  0.00,  0.16309,  0.81934, -0.54932,  1.00, -0.11395,  0.72656
13, 6,  0.00654,  0.0282,  0.16054, -0.68506, -0.67139, -0.28247,  0.00, -0.41211,  0.67725, -0.60986,  1.00, -0.03403,  0.70605
14, 4,  0.01819,  0.02052,  0.14143, -0.74121, -0.63623, -0.21484,  0.00, -0.41309,  0.68408, -0.60107,  1.00, -0.02986,  0.75488
15, 6,  0.00654,  0.0282,  0.16054, -0.68506, -0.67139, -0.28247,  0.00, -0.41211,  0.67725, -0.60986,  1.00, -0.03403,  0.70605
